observation_id,site_id,treatment_id,block,study_year,calendar_year,sample_season,sample_date,depth_min_cm,depth_max_cm,SOC_stock_Mg_ha,total_N_stock_Mg_ha,POXC_stock_Mg_ha,bulk_density_g_cm3,value_status,notes
obs_y0_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s4_b1,white_salinas_usda,sys4_annual_mustard,1,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s4_b2,white_salinas_usda,sys4_annual_mustard,2,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s4_b3,white_salinas_usda,sys4_annual_mustard,3,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s4_b4,white_salinas_usda,sys4_annual_mustard,4,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s5_b1,white_salinas_usda,sys5_annual_rye,1,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s5_b2,white_salinas_usda,sys5_annual_rye,2,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s5_b3,white_salinas_usda,sys5_annual_rye,3,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
obs_y0_s5_b4,white_salinas_usda,sys5_annual_rye,4,0,2003,fall,2003-10-13,0,30,50,4.8,NA,NA,PAPER_TEXT,Mean across all blocks
# --- YEAR 1 (2004; all treatments still ~equal; large SOC drop from field conversion) ---
obs_y1_s1_b1,white_salinas_usda,sys1_control,1,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,~38% decline from Year 0; all treatments similar; block values need Ag Data Commons
obs_y1_s1_b2,white_salinas_usda,sys1_control,2,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s1_b3,white_salinas_usda,sys1_control,3,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s1_b4,white_salinas_usda,sys1_control,4,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s2_b1,white_salinas_usda,sys2_quad_compost,1,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s2_b2,white_salinas_usda,sys2_quad_compost,2,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s2_b3,white_salinas_usda,sys2_quad_compost,3,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s2_b4,white_salinas_usda,sys2_quad_compost,4,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s4_b1,white_salinas_usda,sys4_annual_mustard,1,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s4_b2,white_salinas_usda,sys4_annual_mustard,2,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s4_b3,white_salinas_usda,sys4_annual_mustard,3,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s4_b4,white_salinas_usda,sys4_annual_mustard,4,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s5_b1,white_salinas_usda,sys5_annual_rye,1,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s5_b2,white_salinas_usda,sys5_annual_rye,2,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s5_b3,white_salinas_usda,sys5_annual_rye,3,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
obs_y1_s5_b4,white_salinas_usda,sys5_annual_rye,4,1,2004,fall,NA,0,30,19,2.5,NA,NA,PAPER_TEXT,block values need Ag Data Commons
# --- YEARS 2-8: per-year per-block values need Ag Data Commons download ---
# Mean SOC across Years 2-8 from Figure 6A (companion paper PMC7004306):
#   sys1_control: ~32 Mg/ha; sys2_quad_compost: ~39; sys3-5 annual compost: ~40-41
# Structure rows below are placeholders -- replace SOC_stock_Mg_ha with actual values
obs_y2_s1_b1,white_salinas_usda,sys1_control,1,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s1_b2,white_salinas_usda,sys1_control,2,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s1_b3,white_salinas_usda,sys1_control,3,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s1_b4,white_salinas_usda,sys1_control,4,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s2_b1,white_salinas_usda,sys2_quad_compost,1,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s2_b2,white_salinas_usda,sys2_quad_compost,2,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s2_b3,white_salinas_usda,sys2_quad_compost,3,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s2_b4,white_salinas_usda,sys2_quad_compost,4,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s4_b1,white_salinas_usda,sys4_annual_mustard,1,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s4_b2,white_salinas_usda,sys4_annual_mustard,2,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s4_b3,white_salinas_usda,sys4_annual_mustard,3,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s4_b4,white_salinas_usda,sys4_annual_mustard,4,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s5_b1,white_salinas_usda,sys5_annual_rye,1,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s5_b2,white_salinas_usda,sys5_annual_rye,2,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s5_b3,white_salinas_usda,sys5_annual_rye,3,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
obs_y2_s5_b4,white_salinas_usda,sys5_annual_rye,4,2,2005,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,Download from Ag Data Commons
# --- YEARS 3-8: block-level values need PLoS ONE S1 Table or SOCS repo Excel files ---
# Full data source: PLoS ONE supplement S1 Table (https://doi.org/10.1371/journal.pone.0228677)
# Also: Excel files in https://github.com/swood-ecology/socs/tree/main/data
# Year 6 sampling date = 2009-10-30 (confirmed); Year 8 sampling = August 2011 (post-lettuce)
obs_y3_s1_b1,white_salinas_usda,sys1_control,1,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s1_b2,white_salinas_usda,sys1_control,2,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s1_b3,white_salinas_usda,sys1_control,3,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s1_b4,white_salinas_usda,sys1_control,4,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s2_b1,white_salinas_usda,sys2_quad_compost,1,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s2_b2,white_salinas_usda,sys2_quad_compost,2,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s2_b3,white_salinas_usda,sys2_quad_compost,3,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s2_b4,white_salinas_usda,sys2_quad_compost,4,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s4_b1,white_salinas_usda,sys4_annual_mustard,1,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s4_b2,white_salinas_usda,sys4_annual_mustard,2,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s4_b3,white_salinas_usda,sys4_annual_mustard,3,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s4_b4,white_salinas_usda,sys4_annual_mustard,4,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s5_b1,white_salinas_usda,sys5_annual_rye,1,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s5_b2,white_salinas_usda,sys5_annual_rye,2,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s5_b3,white_salinas_usda,sys5_annual_rye,3,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y3_s5_b4,white_salinas_usda,sys5_annual_rye,4,3,2006,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s1_b1,white_salinas_usda,sys1_control,1,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s1_b2,white_salinas_usda,sys1_control,2,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s1_b3,white_salinas_usda,sys1_control,3,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s1_b4,white_salinas_usda,sys1_control,4,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s2_b1,white_salinas_usda,sys2_quad_compost,1,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s2_b2,white_salinas_usda,sys2_quad_compost,2,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s2_b3,white_salinas_usda,sys2_quad_compost,3,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s2_b4,white_salinas_usda,sys2_quad_compost,4,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s4_b1,white_salinas_usda,sys4_annual_mustard,1,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s4_b2,white_salinas_usda,sys4_annual_mustard,2,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s4_b3,white_salinas_usda,sys4_annual_mustard,3,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s4_b4,white_salinas_usda,sys4_annual_mustard,4,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s5_b1,white_salinas_usda,sys5_annual_rye,1,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s5_b2,white_salinas_usda,sys5_annual_rye,2,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s5_b3,white_salinas_usda,sys5_annual_rye,3,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y4_s5_b4,white_salinas_usda,sys5_annual_rye,4,4,2007,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s1_b1,white_salinas_usda,sys1_control,1,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s1_b2,white_salinas_usda,sys1_control,2,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s1_b3,white_salinas_usda,sys1_control,3,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s1_b4,white_salinas_usda,sys1_control,4,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s2_b1,white_salinas_usda,sys2_quad_compost,1,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s2_b2,white_salinas_usda,sys2_quad_compost,2,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s2_b3,white_salinas_usda,sys2_quad_compost,3,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s2_b4,white_salinas_usda,sys2_quad_compost,4,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s4_b1,white_salinas_usda,sys4_annual_mustard,1,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s4_b2,white_salinas_usda,sys4_annual_mustard,2,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s4_b3,white_salinas_usda,sys4_annual_mustard,3,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s4_b4,white_salinas_usda,sys4_annual_mustard,4,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s5_b1,white_salinas_usda,sys5_annual_rye,1,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s5_b2,white_salinas_usda,sys5_annual_rye,2,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s5_b3,white_salinas_usda,sys5_annual_rye,3,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y5_s5_b4,white_salinas_usda,sys5_annual_rye,4,5,2008,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y6_s1_b1,white_salinas_usda,sys1_control,1,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs; exact sampling date known
obs_y6_s1_b2,white_salinas_usda,sys1_control,2,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s1_b3,white_salinas_usda,sys1_control,3,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s1_b4,white_salinas_usda,sys1_control,4,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s2_b1,white_salinas_usda,sys2_quad_compost,1,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s2_b2,white_salinas_usda,sys2_quad_compost,2,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s2_b3,white_salinas_usda,sys2_quad_compost,3,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s2_b4,white_salinas_usda,sys2_quad_compost,4,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s3_b1,white_salinas_usda,sys3_annual_legumerye,1,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s3_b2,white_salinas_usda,sys3_annual_legumerye,2,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s3_b3,white_salinas_usda,sys3_annual_legumerye,3,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s3_b4,white_salinas_usda,sys3_annual_legumerye,4,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s4_b1,white_salinas_usda,sys4_annual_mustard,1,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s4_b2,white_salinas_usda,sys4_annual_mustard,2,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s4_b3,white_salinas_usda,sys4_annual_mustard,3,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s4_b4,white_salinas_usda,sys4_annual_mustard,4,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s5_b1,white_salinas_usda,sys5_annual_rye,1,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s5_b2,white_salinas_usda,sys5_annual_rye,2,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s5_b3,white_salinas_usda,sys5_annual_rye,3,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y6_s5_b4,white_salinas_usda,sys5_annual_rye,4,6,2009,fall,2009-10-30,0,30,NA,NA,NA,NA,NEEDS_FILL,exact sampling date known
obs_y7_s1_b1,white_salinas_usda,sys1_control,1,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s1_b2,white_salinas_usda,sys1_control,2,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s1_b3,white_salinas_usda,sys1_control,3,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s1_b4,white_salinas_usda,sys1_control,4,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s2_b1,white_salinas_usda,sys2_quad_compost,1,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s2_b2,white_salinas_usda,sys2_quad_compost,2,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s2_b3,white_salinas_usda,sys2_quad_compost,3,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
obs_y7_s2_b4,white_salinas_usda,sys2_quad_compost,4,7,2010,fall,NA,0,30,NA,NA,NA,NA,NEEDS_FILL,PLoS ONE S1 Table or swood-ecology/socs
